,Company,Weights
0,adani,0.013574994700529294
1,asian,0.003254303654967309
2,axis,0.013270820248534654
3,bajajauto,0.01048589680513791
4,bajajfs,0.025114779692230714
5,bajajfin,0.03200362923145062
6,airtel,0.028545229808279105
7,bpcl,0.0031250528423937434
8,britannia,0.03209326810367428
9,cipla,0.035880622678045634
10,coalind,0.022396626055492
11,divislab,0.03300072730028304
12,drreddy,0.03432381610164777
13,eichermot,0.014164362131775675
14,gail,0.0006661319586430033
15,grasim,0.012540511474805645
16,hcl,0.0028931732160596096
17,hdfc,0.011915211827442353
18,hdfcbk,0.014260214338312354
19,hdfclife,0.012820696164763506
20,hero,0.044600546026647085
21,hindalco,0.004231228663778501
22,hindu,0.026681932594068862
23,icici,0.02709661880794088
24,indus,0.013901722508381745
25,infy,0.036884538320743857
26,ioc,0.008067360226790846
27,itc,0.00871223433808989
28,jsw,0.02405594149559955
29,kotak,0.02849768991279289
30,lt,0.0060389052484347925
31,mm,0.0213631124861702
32,maruti,0.01734676103920166
33,nestle,0.03731936930042668
34,ntpc,0.01107156179155344
35,ongc,0.009707252978049974
36,powergrid,0.045028218322652226
37,rel,0.02735138061798694
38,sbilife,0.022912019030589367
39,sbibk,0.009732604067870639
40,shreecem,0.03841045371038382
41,sunpharma,0.004328911476498098
42,tatam,0.005253941089399708
43,tatas,0.014160944296113939
44,tcs,0.02243475330825929
45,techm,0.043730307824458775
46,titan,0.04412542434492917
47,ultracem,0.006279362061055873
48,upl,0.01943000885458229
49,wit,0.014914826922080586
